Question,Answers,Comment,Instructions,Render as
（　）として相手を凝視する。,唖然,__唖然__として相手を凝視する。,Type the reading!,Text
一同（　）とする。,唖然,一同__唖然__とする。,Type the reading!,Text
健太くんの無知に（　）とした。,唖然,健太くんの無知に__唖然__とした。,Type the reading!,Text
厚顔な物言いに（　）となる。,唖然,厚顔な物言いに__唖然__となる。,Type the reading!,Text
事実を告げられた健太くんは（　）としていた。,唖然,事実を告げられた健太くんは__唖然__としていた。,Type the reading!,Text
（　）なことをやったあとは、大抵自分に返ってくるものだ。,阿漕,__阿漕__なことをやったあとは、大抵自分に返ってくるものだ。,Type the reading!,Text
（　）な真似をした彼の家族は、全員長生きできなかった。,阿漕,__阿漕__な真似をした彼の家族は、全員長生きできなかった。,Type the reading!,Text
（　）な真似をして稼いだお金で買ったプレゼントなんかいらない。,阿漕,__阿漕__な真似をして稼いだお金で買ったプレゼントなんかいらない。,Type the reading!,Text
これまで、ずいぶん（　）な商売で潤ってきた。,阿漕,これまで、ずいぶん__阿漕__な商売で潤ってきた。,Type the reading!,Text
子供相手に（　）な商売をするとは、ふてえ野郎だ。,阿漕,子供相手に__阿漕__な商売をするとは、ふてえ野郎だ。,Type the reading!,Text
この仕事は（　）の呼吸を必要とする。,阿吽,この仕事は__阿吽__の呼吸を必要とする。,Type the reading!,Text
階段を上るとそこに（　）の狛犬が鎮座している。,阿吽,階段を上るとそこに__阿吽__の狛犬が鎮座している。,Type the reading!,Text
空中ブランコは見事な（　）の呼吸だった。,阿吽,空中ブランコは見事な__阿吽__の呼吸だった。,Type the reading!,Text
二人の名優はまさに（　）の呼吸で演じていた。,阿吽,二人の名優はまさに__阿吽__の呼吸で演じていた。,Type the reading!,Text
二人は、（　）の呼吸で事を運んだ。,阿吽,二人は、__阿吽__の呼吸で事を運んだ。,Type the reading!,Text
（　）を帯びた音色で多くのファンの心を鷲掴みにした。,哀愁,__哀愁__を帯びた音色で多くのファンの心を鷲掴みにした。,Type the reading!,Text
それは（　）を帯びた絵だった。,哀愁,それは__哀愁__を帯びた絵だった。,Type the reading!,Text
ブランコに座るサラリーマンに（　）を覚えた。,哀愁,ブランコに座るサラリーマンに__哀愁__を覚えた。,Type the reading!,Text
秋の夕暮れの風景は（　）を誘った。,哀愁,秋の夕暮れの風景は__哀愁__を誘った。,Type the reading!,Text
彼は（　）を漂わせた演技で、観客を魅了した。,哀愁,彼は__哀愁__を漂わせた演技で、観客を魅了した。,Type the reading!,Text
地元の人はこの川を愛し、（　）意識が高く、清掃活動が盛んに行われています。,愛護,地元の人はこの川を愛し、__愛護__意識が高く、清掃活動が盛んに行われています。,Type the reading!,Text
動物を（　）する気持ちのない人に、他者を思いやることはできない。,愛護,動物を__愛護__する気持ちのない人に、他者を思いやることはできない。,Type the reading!,Text
徳川綱吉は、生類憐みの令を発布し、生き物を（　）するよう訴えた。,愛護,徳川綱吉は、生類憐みの令を発布し、生き物を__愛護__するよう訴えた。,Type the reading!,Text
奈良では、鹿は神の使いとされ（　）されています。,愛護,奈良では、鹿は神の使いとされ__愛護__されています。,Type the reading!,Text
彼は伝統芸能を（　）し、保存と保護および、後世に伝える活動を行っています。,愛護,彼は伝統芸能を__愛護__し、保存と保護および、後世に伝える活動を行っています。,Type the reading!,Text
（　）激しい母のそばを離れ、早く独り立ちしたかった。,愛憎,__愛憎__激しい母のそばを離れ、早く独り立ちしたかった。,Type the reading!,Text
この小説は、男女7人の（　）渦巻く日々を淡々と描いている。,愛憎,この小説は、男女7人の__愛憎__渦巻く日々を淡々と描いている。,Type the reading!,Text
