Question,Answers,Comment,Instructions,Render as
明日,あす,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
小豆,あずき,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
"海女, 海士",あま,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
硫黄,いおう,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
意気地,いくじ,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
田舎,いなか,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
息吹,いぶき,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
海原,うなばら,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
乳母,うば,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
浮気,うわき,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
浮つく,うわつく,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
笑顔,えがお,"※挙げられている語を構成要素の一部とする熟語に用いてもかまわない。
例「河岸（かし）」→「魚河岸（うおがし）」
「居士（こじ）」→「一言居士（いちげんこじ）」",読み方をご入力ください,Text
