Question,Answers,Comment,Instructions,Render as
甲子,きのえね,甲（木の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
乙丑,きのとうし,乙（木の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
丙寅,ひのえとら,丙（火の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
丁卯,ひのとう,丁（火の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
戊辰,つちのえたつ,戊（土の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
己巳,つちのとみ,己（土の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
庚午,かのえうま,庚（金の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
辛未,かのとひつじ,辛（金の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
壬申,みずのえさる,壬（水の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
癸酉,みずのととり,癸（水の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
甲戌,きのえいぬ,甲（木の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
乙亥,きのとい,乙（木の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
丙子,ひのえね,丙（火の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
丁丑,ひのとうし,丁（火の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
戊寅,つちのえとら,戊（土の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
己卯,つちのとう,己（土の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
庚辰,かのえたつ,庚（金の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
辛巳,かのとみ,辛（金の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
壬午,みずのえうま,壬（水の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
癸未,みずのとひつじ,癸（水の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
甲申,きのえさる,甲（木の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
乙酉,きのととり,乙（木の弟）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
丙戌,ひのえいぬ,丙（火の兄）,"読み方をご入力ください
陽（兄 = え）| 陰（弟 = と）→ :yin_yang:（陰陽 ）",Text
